path,label,generator,source
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_000.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_001.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_002.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_003.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_004.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_005.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_006.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_007.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_008.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_009.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_010.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_011.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_012.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_013.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_014.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_015.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_016.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_017.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_018.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_019.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_020.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_021.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_022.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_023.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_024.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_025.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_026.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_027.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_028.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_029.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_030.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_031.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_032.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_033.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_034.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_035.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_036.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_037.png,1,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_038.png,0,toy,toy
/Users/thinh/Documents/code/hackathon/techjam-2026-track5/outputs/smoke/images/img_039.png,1,toy,toy
