kind,path,orig,pred
false_positive,./data/canon/artifact/5876578400f1d5bc.png,,0.9862
false_positive,./data/canon/artifact/d1309cf2225c95ea.png,,0.8586
false_positive,./data/canon/artifact/72d054a114ec51d3.png,,0.8126
false_positive,./data/canon/artifact/490742ce39d9daa3.png,,0.7145
false_positive,./data/canon/artifact/6301417c5c8b9f99.png,,0.7106
false_positive,./data/canon/artifact/6aa268799a1cd89e.png,,0.5939
false_positive,./data/canon/wf/611d0716edd88e76.png,,0.5931
false_positive,./data/canon/wf/77637a38cd988aef.png,,0.5903
false_positive,./data/canon/artifact/6e37bd64bd6561df.png,,0.5671
false_positive,./data/canon/wf/43f806ba67945add.png,,0.5536
false_positive,./data/canon/ext/926e62a34c2be08b.png,,0.5506
false_positive,./data/canon/wf/751ebe36ba094398.png,,0.5416
false_positive,./data/canon/artifact/b31760f264a7f962.png,,0.5188
false_positive,./data/canon/wf/d553cf7129b06b97.png,,0.4709
false_positive,./data/canon/lsun_bedroom/5f6be3f58e3d7804.png,,0.4668
false_positive,./data/canon/artifact/a6468c4971dec3c1.png,,0.4526
false_positive,./data/canon/coco640/773db12c67d5d9be.png,,0.4509
false_positive,./data/canon/artifact/a7e6a8ed53cb57e5.png,,0.4487
false_positive,./data/canon/coco640/d1317b98412449e5.png,,0.4326
false_positive,./data/canon/wf/70b7a6b715d77ac6.png,,0.4017
false_negative,./data/canon/ext/3b75d24cea5b4b71.png,,0.0000
false_negative,./data/canon/ext/1783c95a0b1f1ef0.png,,0.0000
false_negative,./data/canon/ext/767d9e3c389d92f6.png,,0.0001
false_negative,./data/canon/wf/b96f073b80417117.png,,0.0001
false_negative,./data/canon/artifact/9f17366035042a17.png,,0.0002
false_negative,./data/canon/wf/918c9015950198d4.png,,0.0002
false_negative,./data/canon/wf/60fdb431424943e8.png,,0.0002
false_negative,./data/canon/artifact/188b905a654a7041.png,,0.0002
false_negative,./data/canon/ext/46a4c4fd94fd2cdf.png,,0.0002
false_negative,./data/canon/ext/db763ae205adbdf6.png,,0.0003
false_negative,./data/canon/artifact/4faff0eac18235a6.png,,0.0004
false_negative,./data/canon/artifact/bf85ce78fa0a0db6.png,,0.0004
false_negative,./data/canon/artifact/14b7f15c65966180.png,,0.0004
false_negative,./data/canon/wf/4798dc0f18c2f59e.png,,0.0005
false_negative,./data/canon/ext/97d9cdf04b2dc214.png,,0.0005
false_negative,./data/canon/artifact/d5fa34fee28a45ad.png,,0.0005
false_negative,./data/canon/artifact/489fd95d3798b455.png,,0.0005
false_negative,./data/canon/artifact/6a275a935abf0d0a.png,,0.0006
false_negative,./data/canon/artifact/cd0cd94d2ccb0f6d.png,,0.0006
false_negative,./data/canon/wf/a963cd58f9bbdbaf.png,,0.0008
